quarter,courseId,title,dept_code,description,subject_area,obj_level,college,units,instruction_type1,online_course
20244,ANTH      3  ,INTRO ARCH,ANTH ,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,U,L&S,5,LEC,FALSE
20244,ANTH      5  ,INTRO  BIO ANTH,ANTH ,"An introductory course in human evolutionary biology.  Natural selection an d its genetic basis are used to highlight a variety of human traits.  The f ossil record is addressed, but the course takes more of an ""adaptationist"" than a paleontological perspective.",ANTH    ,U,L&S,5,LEC,FALSE
20244,ANTH     99  ,INDEPENDENT STUDIES,ANTH ,Introduction to research in Anthropology. Independent research under the guidance of a faculty member in the department. Course offers exceptional students the opportunity to undertake independent research or work in a research group.,ANTH    ,U,L&S,NA,TUT,FALSE
20244,ANTH    103  ,HUMAN-WILDLIFE,ANTH ,"Survey of human-wildlife interactions (e.g., bushmeat, pet   trade, crop-raiding). Students examine cascading effects on   wildlife, landscapes, and human populations, as well as   mitigating approaches relating to our changing perceptions   of wildlife and nature.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    113  ,INDIGENOUS PEOPLE,ANTH ,"The changing relationship between indigenous people and the   state. Compare the differences and similarities between   indigenous peoples' mobilizations in the cases of Canada,   USA, Ecuador, Chile, Guatemala, Bolivia and Mexico.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    116A ,"MYTH, RITUAL, SYMB",ANTH ,"Uses ethnographic case studies, films and performance videos to explore myth, ritual, and symbolism cross-culturally. Compares and contrasts the symbolic dimensions of gender and ethnic identity, world view, social and political organization and change in different societies.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    125  ,ANTHRO OF GENDER,ANTH ,"The cross-cultural study of gender from a feminist perspective. Topics may include gender, race, and class; gender and nature; gender and the division of labor; gender and kinship; gender and subjectivity; gender and sexualit y; gender and the state; gender and knowledge/discourse.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    126  ,LAB METHODS,ANTH ,"This course spans a broad range of theory and methods involved in using biomarkers in the social sciences. Theory comes from areas of behavioral research including, behavioral endocrinology, behavioral ecology, evolutionary medicine, and public health. Methods focus on but are not limited to biomarker sampling (saliva, urine, feces, blood), quality controls and processing, and the principles of immunoassays used to measure biomarker concentrations.",ANTH    ,U,L&S,4,LEC,FALSE
20244,ANTH    129  ,ETHNOGRAPH RES METH,ANTH ,"Interrogation of ethnographic research, its development and   its ethical i mplications. Weighing approaches such as   participatory action research, e ngaged and collaborative   research, and decolonized methodologies. Student s will develop projects based on a critical reading of these models.",ANTH    ,U,L&S,4,SEM,FALSE
20244,ANTH    133  ,CULT DEVEL MESOAMER,ANTH ,"The rise and fall of various ancient civilizations such as those of the Maya, Aztecs, Toltecs, Teotihuacanos, and Olmec as well as their cultural antecedents. This course uses self-paced audiovisual modules as well as traditional lecture format.",ANTH    ,U,L&S,4,LEC,FALSE
